dep_id,environment,p_type,mean,median,q5,q25,q75,q95,sd
1,indoor,concent,-5.468708318579182,6.782202966172305,45.7164809834806,17.473524962178516,7.024702733535167,-1.7502686997296248,-12.985299680035071
1,outdoor,concent,-37.322525775263536,-49.637667965478315,1.4600560112465428,-55.783627143202125,-34.65836333986363,-35.95134782823211,-30.475303121070137
1,ratio,concent,22.984684863687722,43.23609426868418,35.859710745598115,35.303221428863615,29.22273636455887,24.631112827613947,11.760366821594136
2,indoor,concent,39.515665589972926,32.278233685033214,62.86851385390428,50.25710419485792,26.448947979863174,39.04548065036315,54.252566816521146
2,outdoor,concent,30.191272963270215,25.487908358082308,26.88136707196845,31.706518178840486,28.703576812388654,33.29776715827639,36.20956395117573
2,ratio,concent,13.183683961149148,14.429956436332475,45.216856677430336,37.58199811720813,0.3119800406480274,-9.107781684594135,11.435455414812141
3,indoor,concent,-2.6578971650034227,-27.80373831775701,-170.0583149004625,-49.954627949183305,-43.71074520454931,28.950399989731718,32.77954422891595
3,outdoor,concent,-84.48835263025799,-51.36698212407992,-162.61770244821093,-55.570221752903905,-74.26526961410683,-142.43815440279198,-147.28553319132527
3,ratio,concent,45.82514820738824,14.139385680168262,5.511956328323365,7.965472295616479,27.074844267984187,79.80238408445612,48.61817223047278
4,indoor,concent,-133.15241206233986,-129.8233539802707,-154.07055630936227,-117.87746585735964,-65.52746969306165,-272.5647834447394,-151.99129905160802
4,outdoor,concent,-42.94087822387629,-18.89987498579384,-64.12811387900356,-43.29407294832827,-34.763782571715765,-88.93498463828381,-51.19746211706684
4,ratio,concent,-57.04404670994589,-58.00029284275982,-39.82601514757396,-43.56120804956431,-66.4398154142017,-79.95263602953982,-52.81420045079693
all,indoor,concent,-41.4375815519626,-13.421828908554572,14.03148528405202,-9.221713538260301,-27.611746361746363,-74.42558806133127,-62.353411664238266
all,outdoor,concent,-42.91638044326685,-29.989238311610666,-17.92452830188679,-25.677200902934537,-47.53713246438315,-62.682073336869685,-49.923916240394234
all,ratio,concent,1.265495721019023,10.168196571548927,35.91197167685601,26.684329944986047,5.225008716670635,-21.937311707486305,-12.755670562186044
